,ID,Фамилия,Имя,Отчество,Организация,Аффилиации,Город
642,173,Гафаров,Евгений,Рашидович,ИПУ РАН,"2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Profsoyuznaya St 65, Moscow 117997, Russia",Москва
643,163,Вороничев,Петр,Петрович,ИПУ РАН,,Москва
644,457,Лычагин,Валентин,Васильевич,ИПУ РАН,"2019;Arctic Univ Norway, Dept Math, Postboks 6050, N-9037 Tromso, Norway, 2019;Department of Mathematics, The Arctic University of Norway, 2019;Department of Mathematics, UiT Norges Arktiske Universitet, 2019;Institute of Control Sciences RAS, 2019;Institute of Control Sciences of Russian Academy of Sciences, 2019;Institute of Control Sciences of the Russian Academy of Sciences, 2019;RAS, Inst Control Sci, Moscow, Russia, 2019;RAS, VA Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, 65 Profsoyuznaya Str, Moscow 117997, Russia, 2019;UiT Norges Arktiske Universitet, 2019;UiT The Arctic University of Norway, 2019;Univ Tromso, Tromso, Norway, 2019;University of Tromso, 2019;University of Tromsø, 2019;V. A. Trapeznikov Institute of Control Sciences RAS, 2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;V.A. Trapeznikov Institute of Control Sciences, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2020;Institute of Control Sciences of RAS, 2020;The Arctic University of Norway, 2020;University of Tromso, 2020;V.A. Trapeznikov Institute of Control Sciences",Москва
645,494,Михайлов,Алексей,Михайлович,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences",Москва
646,584,Полетыкин,Алексей,Григорьевич,ИПУ РАН,"2019;Institute of Control Sciences, RAS, Moscow, Russian Federation, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow, Russia, 2019;V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им.В.А. Трапезникова РАН",Москва
647,643,Самохина,Анна,Сергеевна,ИПУ РАН,"2019;Russian Acad Sci, Inst Control Sci, Moscow 117997, Russia, 2019;Trapeznikov Institute of Control Sciences of the Russian Academy of Sciences, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;МИРЭА",Москва
648,650,Секерин,Владимир,Дмитриевич,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;ФГБОУ ВО «Московский политехнический университет»",Москва
649,691,Степанов,Василий,Николаевич,ИПУ РАН,,Москва
650,785,Чайковский,Михаил,Михайлович,ИПУ РАН,"2019;Academician Pilyugin Ctr, Moscow, Russia, 2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Научно-производственный центр автоматики и приборостроения им. акад. Н.А. Пилюгина",Москва
651,292,Иванов,Владимир,Петрович,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;ФГБУН &quot;ИПУ РАН&quot;",Москва
652,11475,Карев,Александр,Викторович,ИПУ РАН,"2019;ИПУ РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
653,67888,Кошелев,Александр,Анатольевич,ИПУ РАН,,Москва
654,66169,Латипов,Айзат,Рафаилович,ИПУ РАН,,Москва
655,404,Кузнецов,Олег,Петрович,ИПУ РАН,"2019;RAS, Trapeznikov Inst Control Sci, Moscow 117997, Russia, 2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow 117997, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова Российской Академии наук",Москва
656,319,Каравай,Михаил,Федорович,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им.В.А. Трапезникова РАН",Москва
657,653,Семенов,Владимир,Семенович,ИПУ РАН,"2019;Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, 117997, Russian Federation, 2019;Институт проблем управления РАН им. В. А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Федеральное государственное бюджетное учреждение науки Институт проблем управления имени В.А. Трапезникова Российской академии наук",Москва
658,70377,Неусыпин,Константин,Авенирович,Московский государственный технический университет им. Н.Э. Баумана,,Москва
661,70348,Любарский,Дмитрий,Владимирович,Scienteco,,"Бостон, США"
662,70342,Сорокин,Сергей,Владимирович,Тверской государственный университет,,Тверь
663,70341,Семенцов,Валериан,Никитич,МГУ им. М.В.Ломоносова,,
664,70340,Сажин,Михаил,Васильевич,МГУ им. М.В.Ломоносова,,Москва
666,70314,Крепкий,Валентин,Александрович,МТУСИ,,
667,70311,Бегинюк,В.,А.,Магнитогорский металлургический комбинат,,Магнитогорск
668,70296,Коротаев,Данила,Александрович,Правительство РФ,,
695,66484,Петров,Александр,Олегович,ИПУ РАН,,Москва
699,38474,Морин,Юрий,Николаевич,ИПУ РАН,"2019;Joint Supercomputer Center, Russian Academy of Sciences, 2019;МСЦ РАН – филиал ФГУ ФНЦ НИИСИ РАН, 2019;Межведомственный суперкомпьютерный центр РАН – филиал ФГУ ФНЦ НИИСИ РАН",Москва
700,10095,Ефросинин,Дмитрий,Владимирович,ИПУ РАН,"2019;Institute of Control Sciences of Russian Academy of Sciences, 2019;Johannes Kepler University Linz, 2019;Peoples’ Friendship University of Russia (RUDN University), 2019;Институт Проблем Управления им. В.А. Трапезникова РАН",Москва
701,661,Силаев,Андрей,Владимирович,ИПУ РАН,2019;Институт проблем управления им. В.А. Трапезникова РАН,Москва
702,68595,Чеканин,Владислав,Александрович,ИПУ РАН,,Москва
703,209,Губанов,Дмитрий,Алексеевич,ИПУ РАН,"2019;Russian Academy of Sciences, V. A. Trapeznikov Institute of Control Sciences, Moscow, Russian Federation, 2019;Russian Academy of Sciences, V.A. Trapeznikov Institute of Control Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
707,678,Солнечный,Энгель,Михайлович,ИПУ РАН,,Москва
708,726,Толок,Алексей,Вячеславович,ИПУ РАН,"2019;ИПУ им. В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В.А. Трапезникова РАН (ИПУ РАН), 2019;МГТУ «СТАНКИН», 2019;Московский государственный технологический университет &quot;СТАНКИН&quot;, 2019;Московский государственный технологический университет «СТАНКИН»",Москва
709,810,Шелков,Алексей,Борисович,ИПУ РАН,"2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow, Russia, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
710,808,Шевченко,Андрей,Михайлович,ИПУ РАН,"2019;Department for Dynamics of Control Systems Institute of Control Sciences, Russian Academy of Sciences, Moscow, 117997, Russia, 2019;Department for Dynamics of Control Systems Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russia, 2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences (RAS), 2019;V.A. Trapeznikov Institute ofControlSciences, Russian Academy of Sciences (RAS) 65 Profsoyuznaya Str. Moscow 117997 Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
711,469,Максимова,Наталья,Евгеньевна,ИПУ РАН,2019;V.A.Trapeznikov Institute of Control Science,Москва
712,631,Рутковский,Владислав,Юльевич,ИПУ РАН,"2019;Institute of Control Sciences, Russian Academy of Sciences, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
713,304,Искаков,Михаил,Борисович,ИПУ РАН,,Москва
714,63209,Дворяшина,Марина,Михайловна,ИПУ РАН,,Москва
715,63211,Мартиросян,Мария,Пилосовна,ИПУ РАН,,Москва
716,63213,Овсянников,Николай,Евгениевич,ИПУ РАН,,Москва
717,47157,Туровский,Ярослав,Александрович,ИПУ РАН,"2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow 117997, Russia, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Trapeznikov Institute of Control Sciences, Russian Academy of Science, 2019;Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, 117997, Russian Federation, 2019;VGU, Voronezh, Russia, 2019;Voronezh State Univ, Lab Med Cybernet, Voronezh 394018, Russia, 2019;Voronezh State Univ, Lab Med Cybernet, Voronezh, Russia, 2019;Voronezh State Univ, Med Sci, Voronezh, Russia, 2019;Voronezh State Univ, Tech Sci, Voronezh, Russia, 2019;Voronezh State University, 2019;Voronezh State University, V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Voronezh State University, Voronezh, 394018, Russian Federation, 2019;Воронежский государственный университет, 2019;Институт проблем управления им. В.А. Трапезникова",Москва
718,589,Поляк,Борис,Теодорович,ИПУ РАН,"2019;Institute for Control Sciences, Profsoyuznaya 65, Moscow, 117997, Russian Federation, 2019;Russian Acad Sci, Inst Control Sci, Ya Z Tsypkin Lab, Moscow, Russia, 2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
719,58412,Барашов,Егор,Борисович,ИПУ РАН,,Москва
720,587,Полтавский,Александр,Васильевич,ИПУ РАН,"2019;V. A. Trapeznikov Institute of Control Sciences of RAS, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
721,47148,Карпов,Александр,Викторович,ИПУ РАН,"2019;Natl Res Univ Higher Sch Econ, 20 Myasnitskaya Str, Moscow 10100, Russia, 2019;Russian Acad Sci, Inst Control Sci, 65 Profsoyuznaya Str, Moscow 117997, Russia, 2019;Russian Acad Sci, Inst Control Sci, 65 Projsoyuznaya Str, Moscow 117997, Russia",Москва
723,50573,Шевченко,Анна,Владимировна,ИПУ РАН,2019;Институт проблем управления имени В. А. Трапезникова РАН,Москва
724,70289,Глебов,Виктор,Васильевич,ИПУ РАН,,Москва
725,778,Цвиркун,Анатолий,Данилович,ИПУ РАН,"2019;Institute of Control Problems, Russian Academy of Science, 65, Profsouznaya Ave., Moscow, 117997, Russian Federation, 2019;Institute of Control Sciences of RAS, 2019;Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления Российской академии наук,, 2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им.В.А. Трапезникова РАН, 2019;ФГБУН Институт проблем управления им. В. А. Трапезникова РАН",Москва
726,66271,Тюняткин,Андрей,Александрович,ИПУ РАН,,Москва
727,63518,Хомутов,Дмитрий,Константинович,ИПУ РАН,,Москва
729,55812,Иванова,Светлана,Львовна,ИПУ РАН,,Москва
730,545,Осипов,Андрей,Борисович,ИПУ РАН,2019;Институт проблем управления им. В. А. Трапезникова РАН,Москва
731,579,Подлазов,Виктор,Сергеевич,ИПУ РАН,"2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Profsoyuznaya 65 str., Moscow, 117997, Russian Federation, 2019;V.A.Trapeznikov Institute of Control Sciences of RAS, Profsoyuznaya 65 str., Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им.В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
732,58802,Чаплинская,Надежда,Васильевна,ИПУ РАН,,Москва
733,35725,Дружинина,Ольга,Валентиновна,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Федеральный исследовательский центр «Информатика и управление» Российской академии наук",Москва
735,697,Стецюра,Геннадий,Георгиевич,ИПУ РАН,"2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
736,9,Аваков,Евгений,Рачиевич,ИПУ РАН,"2019;Lomonosov Moscow State Univ, Fac Mech &amp; Math, Moscow, Russia, 2019;Moscow MV Lomonosov State Univ, Fac Mech &amp; Math, Moscow 119991, Russia, 2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow 117997, Russia, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Profsoyuznaya Ul 65, Moscow 117997, Russia, 2019;Институт проблем управления им. В. А. Трапезникова, 2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Московский государственный университет имени М. В. Ломоносова, 2019;б Механико-математический факультет, Московский государственный университет им. М.В. Ломоносова",Москва
737,58747,Нечаева,Полина,Александровна,ИПУ РАН,,Москва
738,42991,Елпашев,Денис,Владиславович,ИПУ РАН,,Москва
739,60617,Скачкова,Мария,Анатольевна,ИПУ РАН,,Москва
740,44,Антипов,Валерий,Иванович,ИПУ РАН,,Москва
741,112,Браништов,Сергей,Александрович,ИПУ РАН,"2019;ИПУ РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
742,58531,Тренёв,Иван,Сергеевич,ИПУ РАН,,Москва
744,67098,Кудинов,Илья,Дмитриевич,ИПУ РАН,,Москва
745,67099,Мамонтова,Анастасия,Андреевна,ИПУ РАН,,Москва
746,143,Виноградова,Елена,Петровна,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
747,60839,Зорин,Василий,Александрович,ИПУ РАН,,Москва
748,60080,Сомов,Михаил,Львович,ИПУ РАН,,Москва
749,68330,Брагин,Александр,Викторович,ИПУ РАН,,Москва
750,33843,Селезнева,Ирина,Евгеньевна,ИПУ РАН,2019;Институт проблем управления РАН им. В.А. Трапезникова,Москва
751,61191,Толкачев,Олег,Григорьевич,ИПУ РАН,,Москва
753,42946,Резчиков,Александр,Федорович,ИПУ РАН,"2019;Institute of Precision Mechanics and Control of RAS, 2019;ИПУ РАН, 2019;Институт проблем точной механики и управления РАН, 2019;Институт проблем управления Российской академии наук,, 2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им.В.А. Трапезникова РАН",Москва
754,61025,Московцев,Александр,Михайлович,ИПУ РАН,,Москва
755,38954,Антипов,Алексей,Семенович,ИПУ РАН,"2019;, 2019;Trapeznikov Institute of Control Sciences of the Russian Academy of Sciences, 2019;V. A. Trapeznikov Institute of Control Sciences of RAS, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences (ICS RAS), Bauman Moscow State Technical University, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
756,53633,Мухина,Светлана,Сергеевна,ИПУ РАН,,Москва
757,47150,Костючек,Максим,Игоревич,ИПУ РАН,2019;Институт проблем управления им. В.А. Трапезникова РАН,Москва
758,57023,Черешко,Алексей,Анатольевич,ИПУ РАН,,Москва
759,25451,Владова,Алла,Юрьевна,ИПУ РАН,"2019;Laboratory of Identification of Control Systems, Institute of Control Sciences of Russian, Academy of Sciences, Department of Data Analysis, Decision Making and Finance Technologies, Financial University under the Government of Russian Federation, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, 2019;ИПУ РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Финансовый университет при Правительстве Российской Федерации",Москва
762,63482,Куликов,Артем,Сергеевич,ИПУ РАН,,Москва
765,58769,Команич,Никита,Владимирович,ИПУ РАН,,Москва
766,66725,Насонов,Иван,Андреевич,ИПУ РАН,,Москва
767,59304,Артамонов,Александр,Геннадьевич,ИПУ РАН,,Москва
768,66727,Тихонова,Дарья,Сергеевна,ИПУ РАН,,Москва
770,523,Нестеров,Виктор,Станиславович,ИПУ РАН,"2019;ИПУ РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
771,25480,Локтев,Михаил,Александрович,ИПУ РАН,"2019;Moscow State Univ Technol STANKIN, VA Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В.А. Трапезникова РАН (ИПУ РАН), 2019;МГТУ «СТАНКИН», 2019;Московский государственный технологический университет &quot;СТАНКИН&quot;, 2019;Московский государственный технологический университет “Станкин”",Москва
773,70284,Фролова,Наталья,Алексеевна,Московский государственный университет им М.В. Ломоносова,,Москва
774,70274,Имомов,Аъзам,А.,Каршинский государственный университет,,
775,70261,Чернов,Кирилл,Александрович,АО &quot;Оскольский электрометаллургический комбинат им. А.А. Угарова&quot;,,Старый Оскол
778,70229,Воронцов,А,И,Московский финансово-промышленный университет «Синергия»,,
779,70227,Синюхин,А,С,Московский технический университет связи и информатики,,
780,70226,Бусенков,А,А,Московский институт электроники и математики им. А.Н. Тихонова,,
781,70224,Баулин,Е,И,Московский технический университет связи и информатики,,
782,70223,Горошков,Д,Б,Московский технический университет связи и информатики,,
783,70222,Большаков,В,Н,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,,
784,70221,Канатьев,К,Н,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,,
786,70178,Черешко,Алексей,А.,"ИПУ РАН, лаборатория 41",,Москва
788,70146,Дегтярёв,Олег,Иванович,ФГБУ &quot;НИЦ &quot;Институт имени Н.Е. Жуковского&quot;,,Москва
793,34958,Некрасов,Иван,Васильевич,ИПУ РАН,,Москва
795,59081,Шушко,Никита,Игоревич,ИПУ РАН,,Москва
796,48296,Попков,Юрий,Соломонович,ИПУ РАН,"2019;Department of Software Engineering, ORT Braude College, 2019;Federal Research Center &quot;Computer Science and Control,&quot; Russian Academy of Sciences, 2019;ORT Braude Coll, Dept Software Engn, IL-216100 Karmiel, Israel, 2019;RAS, CSC, Inst Syst Anal, FRC, Moscow 119333, Russia, 2019;Russian Acad Sci, Fed Res Ctr Comp Sci &amp; Control, Moscow 119333, Russia, 2019;Russian Acad Sci, Inst Control Sci, Moscow 117997, Russia, 2019;Univ Haifa, Dept Engn, IL-2161002 Karmiel, Israel, 2019;Univ Higher Sch Econ, Natl Res, Moscow 125319, Russia, 2019;Yugra Res Inst Informat Technol, Khanty Mansiysk 628011, Russia",Москва
797,48294,Душин,Сергей,Викторович,ИПУ РАН,"2019;Institute of Control Sciences of RAS, 65 Profsoyuznaya Street, Moscow, Russian Federation, 2019;Institute of Control Sciences of Russian Academy of Sciences, 2019;V. A. Trapeznikov Institute of Control Sciences of RAS, 2019;V.A. Trapeznikov Institute of Control, 2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Moscow, Russian Federation, 2019;Институт проблем управления РАН им. В. А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
798,394,Крюкова,Ирина,Павловна,ИПУ РАН,,Москва
799,10436,Салихов,Зуфар,Гарифуллинович,ИПУ РАН,2019;Институт проблем управления им. В.А. Трапезникова РАН,Москва
800,58414,Ткаченко,Андрей,Александрович,ИПУ РАН,,Москва
802,781,Цодикова,Яна,Юльевна,ИПУ РАН,"2019;V.A. TRAPEZNIKOV INSTITUTE OF CONTROL SCIENCES OF RAS, MOSCOW, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
803,288,Иванов,Александр,Иванович,ИПУ РАН,,Москва
804,465,Максимов,Дмитрий,Юрьевич,ИПУ РАН,"2019;Institute of Control Science, Russian Academy of Science, Moscow, Russian Federation, 2019;Russian Acad Sci, Trapeznikov Inst Control Sci, 65 Profsoyuznaya St, Moscow 117997, Russia, 2019;Trapeznikov Institute of Control Science RAS, Lab.29 System Integration, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им.В.А. Трапезникова РАН, 2019;ФГБУН Институт проблем управления им. В.А. Трапезникова РАН",Москва
807,252,Ефремов,Андрей,Юрьевич,ИПУ РАН,"2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Systemiс Integration Laboratory, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления им.В.А. Трапезникова РАН",Москва
808,28971,Калмыков,Никита,Сергеевич,ИПУ РАН,,Москва
809,15,Агаев,Рафиг,Паша Оглы,ИПУ РАН,"2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Trapeznikov Institute of Control Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
810,70125,Клюева,Марианна ,Валерьевна,Финансовый университет при Правительстве Российской Федерации,,Москва
811,70124,Вихрова,Полина,Константиновна,Финансовый университет при Правительстве Российской Федерации ,,Москва
812,70123,Козлова,Н,Н,НИИР,,
814,70118,Вечкинзова,Елена,анатольевна,РЭУ им. Г.В. Плеханова,,Москва
815,70076,Фомичев,В,В,МГУ,,
816,70056,Чехович,Юрий,Викторович,ВЦ ФИЦ ИУ РАН,,Москва
817,70055,Стрижов ,Вадим,Викторович,МФТИ,,Москва
818,70054,Рудаков,Константин ,Владимирович,ФИЦ ИУ РАН,,Москва
819,70053,Журавлев,Юрий,Иванович,ФИЦ ИУ РАН,,Москва
820,70052,Воронцов ,Константин,Вячеславович,ВЦ ФИЦ ИУ РАН,,
821,70036,Ахременко,Андрей,Сергеевич,НИУ ВШЭ,,
822,70022,Лёвкин,Пётр,Александрович,МФТИ,,
824,70009,Шаповал ,Елена,Валентиновна,Государственный университет управления,,Москва
825,70008,Чеботарева,Зоя ,Валентиновна,Государственный университет управления ,,Москва
827,69990,Лев,Омер,-,Университет имени Бен-Гуриона,,Беершеба
829,69969,Ма,На,-,Новосибирский национальный исследовательский государственный университет,,Новосибирск
830,69967,Цыплаков,Александр,Анатольевич,Новосибирский национальный исследовательский государственный университет,,Новосибирск
831,69966,Новикова,Татьяна,Сергеевна,Новосибирский национальный исследовательский государственный университет,,Новосибирск
832,69965,Ибрагимов,Наимджон,Мулабоевич,Институт экономики и организации промышленного производства СО РАН,,Новосибирск
833,69964,Костин,Виталий,Сергеевич,Институт экономики и организации промышленного производства СО РАН,,Новосибирск
834,69963,Суслов ,Виктор,Иванович,Институт экономики и организации промышленного производства СО РАН,,Новосибирск
835,69961,Шебан,Татьяна,Леонидовна,Белорусско-Российский университет,,Могилев
836,69941,Вайншток,А,П,ИППИ,,
837,69936,Малиновский,Григорий,Станиславович,King Abdullah University of Science and Technology,,
839,69932,Голубев,А,Г,Национальный медицинский исследовательский центр онкологии им. Н.Н. Петрова,,Санкт-Петербург
846,222,Деменков,Максим,Николаевич,ИПУ РАН,,Москва
847,616,Рапопорт,Лев,Борисович,ИПУ РАН,"2019;Moscow Inst Phys &amp; Technol, Dolgoprudnyi, Russia, 2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Московский физико-технический институт, 2020;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2020;V.A. Trapeznikov Institute of Control Sciences RAS",Москва
848,42785,Бряшко,Николай,Николаевич,ИПУ РАН,,Москва
849,61187,Захаров,Эдуард,Александрович,ИПУ РАН,,Москва
853,26165,Болдышев,Борис,Александрович,ИПУ РАН,"2019;RAS, Trapeznikov Inst Control Sci, Moscow 117997, Russia, 2019;V.A. Trapeznikov Institute of Control",Москва
858,408,Кузнецова,Татьяна,Сергеевна,ИПУ РАН,,Москва
859,69915,Горшков,Д,В,РНИМУ,,
860,69912,Сухов,Александр,Александрович,ИПУ РАН,,
861,69908,Чумаков,Илья,-,-,,
862,69907,Бобкова,Анна,-,-,,
864,69900,Мороз,Ирина,Николаевна,Белорусский государственный медицинский университет,,
865,69898,Зинченко,Иван,Витальевич,ИПУ РАН,,Москва
867,69726,Миронкин,Алексей,Петрович,ВГУ,,
868,69725,Мурадова,Лариса,Геннадиевна,ВГУ,,
869,69568,Пустовитов,Владимир ,Дмитриевич,Ниц Курчатовский институт,,Москва
870,69562,Умывакин,В.,М.,ФГБОУ ВО «Воронежский государственный университет»,,Воронеж
871,69522,Розиков,Парвизджон,Шарифбекович,МГУ,,Москва
872,69456,Вдовенко,Д.,В.,МТУСИ,,
873,69453,Хорошенький,Ю.,А.,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,,
874,69452,Зюзин,В.,Д.,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,,
875,13714,Горская,Юлия,Сергеевна,ИПУ РАН,,Москва
877,43001,Степанова,Наталья,Викторовна,ИПУ РАН,"2019;Institute of Control Sciences, RAS, Profsoyuznaya Street 65, Moscow, 117997, Russian Federation, 2019;Russian Acad Sci, Inst Control Sci, Moscow, Russia, 2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Profsoyuznaya St., 65, Moscow, 117997, Russian Federation",Москва
878,18598,Маркович,Любовь,Анатольевна,ИПУ РАН,"2019;Inst Informat Transmiss Problems, Bolshoy Karetny Per 19,Build 1, Moscow 127051, Russia, 2019;Institute for information transmission problems, 2019;Russian Acad Sci, Inst Control Sci, Profsoyuznaya 65, Moscow 117997, Russia, 2019;Russian Quantum Center, 2019;Russian Quantum Ctr, 100 Novaya St, Moscow 143025, Russia, 2019;Russian Quantum Ctr, Correlated Quantum Syst Grp, Novaya St 100A, Moscow 143025, Russia, 2019;V. A. Trapeznikov Institute of Control Sciences, 2019;VA Trapeznikov Inst Control Sci, Profsoyuznaya 65, Moscow 117997, Russia, 2019;Институт проблем передачи информации им. А.А. Харкевича РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Российский квантовый центр",Москва
879,549,Павлов,Борис,Викторович,ИПУ РАН,"2019;Department for Dynamics of Control Systems Institute of Control Sciences, Russian Academy of Sciences, Moscow, 117997, Russia, 2019;Department for Dynamics of Control Systems Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russia, 2019;Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, 65 Profsoyuznaya St, Moscow 117997, Russia, 2019;V.A. Trapeznikov Institute ofControlSciences, Russian Academy of Sciences (RAS) 65 Profsoyuznaya Str. Moscow 117997 Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
880,414,Кулинич,Александр,Алексеевич,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;ИПУ РАН, 2019;Институт проблем управления РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
882,69438,Тищенко,Валерия,Андреевна,ВГУ,,Воронеж
